Number	Accession	A's	T's	G's	C's	N's	Length	GC%
57	AJ006954	463	387	347	263	20	1480	41.22
58	AJ564805	797	538	575	431	33	2374	42.38
59	AJ564807	741	498	463	411	30	2143	40.78
60	AJ605762	743	547	528	414	33	2264	41.61
61	AJ628066	507	331	412	315	22	1587	45.81
62	EU502201	342	227	202	216	14	1001	41.76
63	EU605964	350	242	226	220	14	1052	42.40
64	EU521869	383	268	247	240	16	1154	42.20
65	EU521883	376	267	245	234	16	1138	42.09
66	EU605950	386	266	252	234	16	1154	42.11
67	EU605955	388	267	251	234	16	1156	41.96
68	EU605956	385	267	250	232	16	1150	41.91
69	EU605957	385	267	250	232	16	1150	41.91
70	EU521837	368	250	225	228	15	1086	41.71
71	EU521910	362	255	233	232	15	1097	42.39
72	EU522013	360	255	232	229	15	1091	42.25
73	EU522014	359	252	231	228	15	1085	42.30
74	EU605976	359	243	227	225	15	1069	42.28
75	EU521866	385	267	251	233	16	1152	42.01
76	EU605977	353	244	227	224	14	1062	42.47
77	EU522015	378	267	245	235	16	1141	42.07
78	EU521808	385	267	251	233	16	1152	42.01
79	EU521809	374	265	265	235	16	1155	43.29
80	EU521901	359	253	235	232	15	1094	42.69
81	EU521954	349	239	225	221	14	1048	42.56
82	EU521955	350	241	222	212	14	1039	41.77
83	EU521875	343	235	216	215	14	1023	42.13
84	EU521887	362	260	237	230	15	1104	42.30
85	EU521888	349	244	231	221	14	1059	42.68
86	EU521889	376	264	244	236	15	1135	42.29
87	EU521890	367	262	240	235	15	1119	42.45
88	EU521846	322	226	209	201	13	971	42.22
89	EU521847	344	222	202	211	13	992	41.63
90	EU521909	357	249	231	227	15	1079	42.45
91	EU521941	361	251	231	222	15	1080	41.94
92	EU521974	355	244	228	224	15	1066	42.40
93	EU605971	349	239	227	222	14	1051	42.72
94	EU521880	357	256	236	227	15	1091	42.44
95	EU521905	365	262	238	236	15	1116	42.47
96	EU521853	376	264	245	232	15	1132	42.14
97	EU521858	388	269	255	236	16	1164	42.18
98	EU521993	361	259	234	232	15	1101	42.33
99	EU521857	386	268	250	235	16	1155	41.99
100	EU521822	373	268	259	236	16	1152	42.97
101	EU521823	382	276	267	239	16	1180	42.88
102	EU521824	373	256	241	230	15	1115	42.24
103	EU605962	375	270	258	234	16	1153	42.67
104	EU521833	378	268	258	235	16	1155	42.68
105	EU521848	373	267	260	236	16	1152	43.06
106	EU521849	379	270	263	235	16	1163	42.82
107	EU521958	346	240	224	219	14	1043	42.47
108	EU521960	360	247	234	224	15	1080	42.41
109	EU521961	344	237	223	219	14	1037	42.62
110	EU521962	346	240	223	217	14	1040	42.31
111	EU521963	367	249	237	231	15	1099	42.58
112	EU521959	360	248	235	225	15	1083	42.47
113	EU521842	342	234	223	215	14	1028	42.61
114	EU521907	369	257	233	237	15	1111	42.30
115	EU521965	358	246	232	223	15	1074	42.36
116	EU521966	346	238	223	220	14	1041	42.56
117	CY039909	613	424	382	319	24	1762	39.78
118	CY039910	294	234	247	214	14	1003	45.96
119	CY039910	294	234	247	214	14	1003	45.96
120	CY039911	463	376	333	249	20	1441	40.39
121	CY039912	497	327	406	295	21	1546	45.34
122	CY039913	266	212	205	165	12	860	43.02
123	CY039913	266	212	205	165	12	860	43.02
124	CY039914	740	539	512	387	32	2210	40.68
125	CY039915	773	564	518	429	32	2316	40.89
126	CY039916	792	523	578	413	33	2339	42.37
127	L24362	610	426	382	320	24	1762	39.84
128	L24394	508	333	410	299	22	1572	45.10
129	EU521979	337	231	203	216	14	1001	41.86
130	EU521980	331	224	193	209	13	970	41.44
131	EU521981	346	239	224	219	14	1042	42.51
132	EU521982	347	238	224	219	14	1042	42.51
133	EU521903	319	226	192	212	13	962	42.00
134	EU521956	373	258	243	236	15	1125	42.58
135	EU521975	328	226	196	206	13	969	41.49
136	CY039893	617	414	386	320	24	1761	40.09
137	CY039894	287	236	256	208	14	1001	46.35
138	CY039894	287	236	256	208	14	1001	46.35
139	CY039895	453	369	329	263	20	1434	41.28
140	CY039896	504	317	405	300	21	1547	45.57
141	CY039897	272	209	201	169	12	863	42.87
142	CY039897	272	209	201	169	12	863	42.87
143	CY039898	716	511	536	434	31	2228	43.54
144	CY039899	821	520	521	443	32	2337	41.25
145	CY039900	770	494	591	433	32	2320	44.14
146	CY039901	616	415	384	320	24	1759	40.02
147	CY039902	287	236	256	208	14	1001	46.35
148	CY039902	287	236	256	208	14	1001	46.35
149	CY039903	452	368	330	262	20	1432	41.34
150	CY039904	500	317	403	299	21	1540	45.58
151	CY039905	268	209	201	168	12	858	43.01
152	CY039905	268	209	201	168	12	858	43.01
153	CY039906	713	509	535	432	31	2220	43.56
154	CY039907	820	517	519	443	32	2331	41.27
155	CY039908	774	498	590	433	32	2327	43.96
156	EU502324	344	226	201	216	14	1001	41.66
157	EU502325	340	223	205	219	14	1001	42.36
158	EU605963	352	243	228	223	14	1060	42.55
159	EU521874	364	257	230	227	15	1093	41.81
160	EU521876	345	233	216	215	14	1023	42.13
161	EU605965	358	242	227	223	14	1064	42.29
162	EU521877	349	233	215	218	14	1029	42.08
163	EU521878	378	265	244	238	16	1141	42.24
164	EU521884	384	269	246	241	16	1156	42.13
165	EU521885	385	268	246	242	16	1157	42.18
166	EU521886	351	244	228	218	14	1055	42.27
167	EU521811	388	266	251	234	16	1155	41.99
168	EU521814	409	279	261	246	17	1212	41.83
169	EU521820	378	264	259	238	16	1155	43.03
170	EU521838	366	247	225	229	15	1082	41.96
171	EU521850	369	251	230	229	15	1094	41.96
172	EU521851	369	239	224	227	15	1074	41.99
173	EU521852	388	265	250	236	16	1155	42.08
174	EU521904	383	266	245	241	16	1151	42.22
175	EU521854	369	245	221	227	15	1077	41.60
176	EU521912	363	260	235	230	15	1103	42.16
177	EU605968	348	240	228	221	14	1051	42.72
178	EU521942	375	264	246	237	16	1138	42.44
179	EU521967	356	244	230	222	15	1067	42.36
180	EU521987	346	241	226	220	14	1047	42.60
181	EU521988	336	225	195	208	13	977	41.25
182	EU521989	347	242	225	220	14	1048	42.46
183	EU522002	379	262	244	237	16	1138	42.27
184	EU522003	364	258	235	231	15	1103	42.25
185	EU521860	376	265	258	240	16	1155	43.12
186	EU522004	382	267	246	240	16	1151	42.22
187	EU522005	385	266	243	241	17	1152	42.01
188	EU521818	384	268	250	234	16	1152	42.01
189	EU521819	383	267	252	234	16	1152	42.19
190	EU521825	385	269	246	230	16	1146	41.54
191	EU521832	371	252	234	231	15	1103	42.16
192	EU605960	385	269	250	233	16	1153	41.89
193	EU605961	385	269	250	233	16	1153	41.89
194	EU521810	387	266	250	233	16	1152	41.93
195	EU521817	364	258	239	227	15	1103	42.25
196	EU521911	383	265	245	243	16	1152	42.36
197	EU521952	343	235	218	216	14	1026	42.30
198	EU521953	381	264	245	242	16	1148	42.42
199	EU521976	353	244	230	224	15	1066	42.59
200	EU521977	350	242	224	222	14	1052	42.40
201	EU521978	342	230	209	220	14	1015	42.27
202	EU521902	356	242	225	213	14	1050	41.71
203	EU605967	350	242	227	219	14	1052	42.40
204	EU605958	383	267	251	233	16	1150	42.09
205	EU521841	368	268	257	234	16	1143	42.96
206	EU521908	349	237	222	221	14	1043	42.47
207	EU521921	377	263	243	239	16	1138	42.36
208	EU521922	359	247	236	226	15	1083	42.66
209	EU605969	352	244	228	224	14	1062	42.56
210	EU521923	346	243	225	219	14	1047	42.41
211	EU521924	366	249	236	228	15	1094	42.41
212	EU521944	350	242	229	223	14	1058	42.72
213	EU521945	366	250	237	231	15	1099	42.58
214	EU521946	348	246	225	219	14	1052	42.21
215	EU521947	343	238	222	218	14	1035	42.51
216	EU521948	359	242	227	220	14	1062	42.09
217	EU521949	353	240	223	216	14	1046	41.97
218	EU521950	337	236	216	209	14	1012	42.00
219	EU521951	357	243	229	220	14	1063	42.24
220	EU521971	345	229	207	220	14	1015	42.07
221	EU521972	353	242	227	223	14	1059	42.49
222	CY030235	371	269	254	237	16	1147	42.81
223	EU521899	383	267	248	240	16	1154	42.29
224	EU605966	352	242	230	221	14	1059	42.59
225	EU605949	392	269	255	235	16	1167	41.99
226	EU521826	375	265	254	238	16	1148	42.86
227	EU521827	386	267	245	232	16	1146	41.62
228	EU521828	390	269	254	235	16	1164	42.01
229	EU521843	371	248	228	229	15	1091	41.89
230	EU521925	342	237	220	217	14	1030	42.43
231	EU521926	347	240	227	220	14	1048	42.65
232	EU521943	362	251	237	227	15	1092	42.49
233	EU521957	374	267	246	238	16	1141	42.42
234	EU521968	348	244	228	222	14	1056	42.61
235	EU521969	307	213	182	195	12	909	41.47
236	EU521990	334	224	198	209	13	978	41.62
237	EU521855	375	269	259	236	16	1155	42.86
238	EU521856	373	270	261	234	16	1154	42.89
239	EU521991	344	241	229	221	14	1049	42.90
240	EU521867	349	234	215	217	14	1029	41.98
241	EU521868	382	265	242	240	16	1145	42.10
242	EU521798	358	251	248	231	15	1103	43.43
243	EU521799	375	260	243	231	15	1124	42.17
244	EU521800	361	253	246	233	15	1108	43.23
245	EU521801	379	254	241	231	15	1120	42.14
246	EU521802	373	253	235	230	15	1106	42.04
247	EU521803	384	268	252	235	16	1155	42.16
248	EU521804	386	265	250	235	16	1152	42.10
249	EU521805	383	267	245	232	16	1143	41.73
250	EU521881	387	268	246	244	16	1161	42.20
251	EU521882	352	233	212	218	14	1029	41.79
252	EU605951	390	268	254	235	16	1163	42.05
253	EU605952	392	269	255	236	16	1168	42.04
254	EU521834	369	257	236	229	16	1107	42.01
255	EU521835	367	249	224	231	15	1086	41.90
256	EU521836	372	253	236	232	15	1108	42.24
257	EU521844	382	268	245	233	16	1144	41.78
258	EU521845	385	267	245	234	16	1147	41.76
259	EU521919	351	243	228	221	14	1057	42.48
260	EU521920	364	247	235	228	15	1089	42.52
261	EU521973	356	243	227	225	15	1066	42.40
262	EU605972	308	217	187	196	12	920	41.63
263	EU605973	335	225	202	209	13	984	41.77
264	EU605974	352	242	226	222	14	1056	42.42
265	EU605975	339	233	212	208	14	1006	41.75
266	EU521864	359	256	238	225	15	1093	42.36
267	EU521865	372	255	236	230	15	1108	42.06
268	EU522007	382	268	246	242	16	1154	42.29
269	EU522008	379	266	246	240	16	1147	42.37
270	EU522009	380	267	246	241	16	1150	42.35
271	EU522010	342	235	219	217	14	1027	42.45
272	EU522011	343	240	223	218	14	1038	42.49
273	EU522012	345	242	227	221	14	1049	42.71
274	EU522006	365	248	238	227	15	1093	42.54
275	EU521861	373	253	232	229	15	1102	41.83
276	EU521862	394	266	254	234	17	1165	41.89
277	EU521863	393	266	254	236	16	1165	42.06
278	EU502396	343	225	200	219	14	1001	41.86
279	EU502397	342	224	204	217	14	1001	42.06
280	EU521871	363	262	235	227	15	1102	41.92
281	EU521872	378	265	244	235	16	1138	42.09
282	EU521873	356	246	229	220	15	1066	42.12
283	EU605953	387	266	250	233	16	1152	41.93
284	EU521821	386	267	249	232	16	1150	41.83
285	EU605954	386	266	251	233	16	1152	42.01
286	EU521831	370	262	255	240	16	1143	43.31
287	EU605959	388	270	251	231	16	1156	41.70
288	EU521859	382	265	248	232	16	1143	41.99
289	CS406467	353	240	229	220	14	1056	42.52
290	AJ489861	329	221	210	215	13	988	43.02
291	AJ489851	433	360	338	276	20	1427	43.03
292	AJ489862	329	221	210	215	13	988	43.02
293	AJ489859	329	221	210	215	13	988	43.02
294	AJ489860	329	222	210	214	13	988	42.91
295	CY021709	620	403	393	335	25	1776	40.99
296	CY021710	286	243	264	207	14	1014	46.45
297	CY021710	286	243	264	207	14	1014	46.45
298	CY021711	432	391	358	248	20	1449	41.82
299	CY021712	497	324	401	312	21	1555	45.85
300	CY021713	267	201	210	173	12	863	44.38
301	CY021713	267	201	210	173	12	863	44.38
302	CY021714	737	533	521	415	31	2237	41.84
303	CY021715	796	533	511	443	32	2315	41.21
304	CY021715	796	533	511	443	32	2315	41.21
305	CY021716	788	534	573	414	32	2341	42.16
306	CY020285	620	398	391	332	24	1765	40.96
307	CY020286	279	241	262	206	14	1002	46.71
308	CY020286	279	241	262	206	14	1002	46.71
309	CY020287	423	378	359	250	20	1430	42.59
310	CY020288	495	323	405	307	21	1551	45.91
311	CY020289	271	201	204	173	12	861	43.79
312	CY020289	271	201	204	173	12	861	43.79
313	CY020290	723	528	523	414	31	2219	42.23
314	CY020291	797	535	512	444	32	2320	41.21
315	CY020291	797	535	512	444	32	2320	41.21
316	CY020292	774	525	579	422	32	2332	42.92
317	EU501856	345	225	199	218	14	1001	41.66
318	EU501595	342	226	203	216	14	1001	41.86
319	EU501596	342	224	203	218	14	1001	42.06
320	EU501855	345	225	199	218	14	1001	41.66
321	EU501363	342	222	205	218	14	1001	42.26
322	EU501364	345	225	201	216	14	1001	41.66
323	EU501857	344	225	200	218	14	1001	41.76
324	EU501858	342	227	201	217	14	1001	41.76
325	EU501859	342	226	202	217	14	1001	41.86
326	EU501860	344	225	200	218	14	1001	41.76
327	EU501365	341	224	205	217	14	1001	42.16
328	EU501597	342	227	203	215	14	1001	41.76
329	EU501598	341	224	203	219	14	1001	42.16
330	EU501599	341	224	203	219	14	1001	42.16
331	EU501861	342	225	201	219	14	1001	41.96
332	EU502548	342	225	201	219	14	1001	41.96
333	EU501602	341	227	204	215	14	1001	41.86
334	EU501603	341	226	203	217	14	1001	41.96
335	EU501604	343	225	201	218	14	1001	41.86
336	EU501605	341	228	201	217	14	1001	41.76
337	EU501606	340	220	205	222	14	1001	42.66
338	EU501600	340	223	205	219	14	1001	42.36
339	EU501601	341	226	203	217	14	1001	41.96
340	EU501607	343	225	201	218	14	1001	41.86
341	EU501608	341	225	203	218	14	1001	42.06
342	EU501366	341	224	205	217	14	1001	42.16
343	EU501862	341	222	203	221	14	1001	42.36
344	EU501367	339	225	206	217	14	1001	42.26
345	EU501863	341	227	202	217	14	1001	41.86
346	EU501864	340	220	203	224	14	1001	42.66
347	EU501206	337	224	210	216	14	1001	42.56
348	EU501865	346	225	199	217	14	1001	41.56
349	EU501122	331	227	216	213	14	1001	42.86
350	EU501866	345	226	200	216	14	1001	41.56
351	EU501123	335	224	215	213	14	1001	42.76
352	EU501371	342	225	203	217	14	1001	41.96
353	EU501205	338	224	209	216	14	1001	42.46
354	EU501867	345	226	200	216	14	1001	41.56
355	CY063606	618	416	382	318	24	1758	39.82
356	CY063607	290	236	253	208	14	1001	46.05
357	CY063607	290	236	253	208	14	1001	46.05
358	CY063608	454	372	330	264	20	1440	41.25
359	CY063609	504	318	401	300	21	1544	45.40
360	CY063610	271	208	202	169	12	862	43.04
361	CY063610	271	208	202	169	12	862	43.04
362	CY063611	712	503	532	428	31	2206	43.52
363	CY063612	818	517	523	445	32	2335	41.46
364	CY063613	772	498	590	433	32	2325	44.00
365	CY073725	617	414	383	318	26	1758	39.87
366	CY073726	290	237	253	207	14	1001	45.95
367	CY073726	290	237	253	207	14	1001	45.95
368	CY073727	454	371	330	265	20	1440	41.32
369	CY073728	504	314	401	301	24	1544	45.47
370	CY073729	270	209	202	169	12	862	43.04
371	CY073729	270	209	202	169	12	862	43.04
372	CY073730	712	504	532	427	31	2206	43.47
373	CY073731	817	517	524	445	32	2335	41.50
374	CY073732	773	499	588	433	32	2325	43.91
375	CY062691	615	416	384	319	24	1758	39.99
376	CY062692	292	236	251	208	14	1001	45.85
377	CY062692	292	236	251	208	14	1001	45.85
378	CY062693	453	371	331	265	20	1440	41.39
379	CY062694	504	315	401	303	21	1544	45.60
380	CY062695	269	209	203	169	12	862	43.16
381	CY062695	269	209	203	169	12	862	43.16
382	CY062696	713	505	532	425	31	2206	43.38
383	CY062697	822	519	519	443	32	2335	41.20
384	CY062698	770	501	591	431	32	2325	43.96
385	CY062699	617	415	383	319	24	1758	39.93
386	CY062700	289	236	254	208	14	1001	46.15
387	CY062700	289	236	254	208	14	1001	46.15
388	CY062701	453	372	331	264	20	1440	41.32
389	CY062702	501	317	404	301	21	1544	45.66
390	CY062703	269	209	203	169	12	862	43.16
391	CY062703	269	209	203	169	12	862	43.16
392	CY062704	713	505	532	425	31	2206	43.38
393	CY062705	822	521	520	440	32	2335	41.11
394	CY062706	772	499	589	433	32	2325	43.96
395	CY066935	618	415	382	319	24	1758	39.87
396	CY066936	291	235	253	208	14	1001	46.05
397	CY066936	291	235	253	208	14	1001	46.05
398	CY066937	453	372	331	264	20	1440	41.32
399	CY066938	504	317	401	301	21	1544	45.47
400	CY066939	270	209	202	169	12	862	43.04
401	CY066939	270	209	202	169	12	862	43.04
402	CY066940	715	502	532	426	31	2206	43.43
403	CY066941	822	519	519	443	32	2335	41.20
404	CY066942	773	499	588	433	32	2325	43.91
405	CY066943	618	413	384	319	24	1758	39.99
406	CY066944	290	235	253	209	14	1001	46.15
407	CY066944	290	235	253	209	14	1001	46.15
408	CY066945	454	372	330	264	20	1440	41.25
409	CY066946	503	318	401	301	21	1544	45.47
410	CY066947	270	209	203	168	12	862	43.04
411	CY066947	270	209	203	168	12	862	43.04
412	CY066948	713	503	532	427	31	2206	43.47
413	CY066949	822	519	519	443	32	2335	41.20
414	CY066950	772	498	590	433	32	2325	44.00
415	CY066951	616	414	384	320	24	1758	40.05
416	CY066952	289	236	254	208	14	1001	46.15
417	CY066952	289	236	254	208	14	1001	46.15
418	CY066953	453	373	331	263	20	1440	41.25
419	CY066954	504	318	401	300	21	1544	45.40
420	CY066955	271	209	201	169	12	862	42.92
421	CY066955	271	209	201	169	12	862	42.92
422	CY066956	714	504	532	425	31	2206	43.38
423	CY066957	822	517	519	442	35	2335	41.16
424	CY066958	772	497	590	434	32	2325	44.04
425	CY066959	618	414	384	318	24	1758	39.93
426	CY066960	290	237	253	207	14	1001	45.95
427	CY066960	290	237	253	207	14	1001	45.95
428	CY066961	454	372	330	264	20	1440	41.25
429	CY066962	504	318	401	300	21	1544	45.40
430	CY066963	270	209	202	169	12	862	43.04
431	CY066963	270	209	202	169	12	862	43.04
432	CY066964	711	503	533	428	31	2206	43.56
433	CY066965	817	517	524	445	32	2335	41.50
434	CY066966	772	499	589	433	32	2325	43.96
435	CY066967	619	413	383	319	24	1758	39.93
436	CY066968	292	236	251	208	14	1001	45.85
437	CY066968	292	236	251	208	14	1001	45.85
438	CY066969	453	372	331	264	20	1440	41.32
439	CY066970	504	315	401	303	21	1544	45.60
440	CY066971	270	209	202	169	12	862	43.04
441	CY066971	270	209	202	169	12	862	43.04
442	CY066972	714	503	531	427	31	2206	43.43
443	CY066973	820	520	521	442	32	2335	41.24
444	CY066974	771	500	589	433	32	2325	43.96
445	CY066975	617	415	384	318	24	1758	39.93
446	CY066976	289	236	254	208	14	1001	46.15
447	CY066976	289	236	254	208	14	1001	46.15
448	CY066977	450	373	332	264	21	1440	41.39
449	CY066978	503	317	403	300	21	1544	45.53
450	CY066979	269	209	203	169	12	862	43.16
451	CY066979	269	209	203	169	12	862	43.16
452	CY066980	713	505	532	425	31	2206	43.38
453	CY066981	822	519	520	442	32	2335	41.20
454	CY066982	772	497	590	434	32	2325	44.04
455	CY067031	618	414	384	318	24	1758	39.93
456	CY067032	292	236	251	208	14	1001	45.85
457	CY067032	292	236	251	208	14	1001	45.85
458	CY067033	456	370	329	265	20	1440	41.25
459	CY067034	503	318	402	300	21	1544	45.47
460	CY067035	270	209	203	168	12	862	43.04
461	CY067035	270	209	203	168	12	862	43.04
462	CY067036	715	504	530	426	31	2206	43.34
463	CY067037	820	518	520	444	33	2335	41.28
464	CY067038	773	499	588	433	32	2325	43.91
465	CY067039	622	414	388	319	24	1767	40.01
466	CY067040	288	237	255	207	14	1001	46.15
467	CY067040	288	237	255	207	14	1001	46.15
468	CY067041	454	372	330	264	20	1440	41.25
469	CY067042	504	318	401	300	21	1544	45.40
470	CY067043	270	209	202	169	12	862	43.04
471	CY067043	270	209	202	169	12	862	43.04
472	CY067044	711	504	532	428	31	2206	43.52
473	CY067045	816	517	525	445	32	2335	41.54
474	CY067046	772	500	589	432	32	2325	43.91
475	CY067047	619	413	383	319	24	1758	39.93
476	CY067048	289	237	254	207	14	1001	46.05
477	CY067048	289	237	254	207	14	1001	46.05
478	CY067049	453	372	332	263	20	1440	41.32
479	CY067050	501	317	404	301	21	1544	45.66
480	CY067051	270	209	202	169	12	862	43.04
481	CY067051	270	209	202	169	12	862	43.04
482	CY067052	714	506	530	425	31	2206	43.29
483	CY067053	822	519	520	442	32	2335	41.20
484	CY067054	773	498	589	433	32	2325	43.96
485	CY067055	618	412	383	321	24	1758	40.05
486	CY067056	292	235	252	208	14	1001	45.95
487	CY067056	292	235	252	208	14	1001	45.95
488	CY067057	456	371	328	265	20	1440	41.18
489	CY067058	505	316	400	302	21	1544	45.47
490	CY067059	269	209	203	169	12	862	43.16
491	CY067059	269	209	203	169	12	862	43.16
492	CY067060	712	503	534	426	31	2206	43.52
493	CY067061	822	520	519	442	32	2335	41.16
494	CY067062	771	500	590	432	32	2325	43.96
495	CY056947	608	412	383	317	24	1744	40.14
496	CY056948	288	235	251	208	14	996	46.08
497	CY056948	288	235	251	208	14	996	46.08
498	CY056949	451	372	331	264	20	1438	41.38
499	CY056950	502	312	401	301	21	1537	45.67
500	CY056951	265	208	203	168	12	856	43.34
501	CY056951	265	208	203	168	12	856	43.34
502	CY056952	709	500	531	423	30	2193	43.50
503	CY056953	820	517	519	443	32	2331	41.27
504	CY056954	771	495	587	433	32	2318	44.00
505	GU367315	627	413	388	321	28	1777	39.90
506	GU367316	460	375	332	265	21	1453	41.09
507	HM628693	579	408	372	342	24	1725	41.39
508	HM628694	580	407	372	342	24	1725	41.39
509	AB124653	427	369	344	270	20	1430	42.94
510	AB432937	571	405	410	303	24	1713	41.62
511	D13576	138	91	102	63	5	399	41.35
512	M57670	42	18	32	25	1	118	48.31
513	GQ369800	171	131	130	85	7	524	41.03
514	CY071815	771	491	586	432	32	2312	44.03
515	CY071817	704	496	530	421	30	2181	43.60
516	CY071818	599	408	376	312	24	1719	40.02
517	CY071819	493	313	398	293	21	1518	45.52
518	CY071820	451	367	329	263	20	1430	41.40
519	CY071821	285	236	254	207	14	996	46.29
520	CY071821	285	236	254	207	14	996	46.29
521	CY071822	267	209	202	168	12	858	43.12
522	CY071822	267	209	202	168	12	858	43.12
523	CY071823	770	490	587	433	32	2312	44.12
524	CY071825	704	496	530	421	30	2181	43.60
525	CY071826	601	409	377	314	24	1725	40.06
526	CY071827	493	313	398	293	21	1518	45.52
527	CY071828	451	367	329	263	20	1430	41.40
528	CY071829	286	234	255	207	14	996	46.39
529	CY071829	286	234	255	207	14	996	46.39
530	CY071830	267	209	202	168	12	858	43.12
531	CY071830	267	209	202	168	12	858	43.12
532	CY031308	354	244	219	223	14	1054	41.94
533	CY031309	354	240	220	226	14	1054	42.31
534	CY031310	353	242	221	224	14	1054	42.22
535	CY031311	353	242	221	224	14	1054	42.22
536	CY031312	353	242	221	224	14	1054	42.22
537	CY031313	354	240	221	225	14	1054	42.31
538	CY062377	601	406	378	316	24	1725	40.23
539	CY062378	599	409	379	314	24	1725	40.17
540	CY062379	599	409	379	314	24	1725	40.17
541	CY062380	599	409	379	314	24	1725	40.17
542	CY062381	599	409	379	314	24	1725	40.17
543	CY062382	599	409	379	314	24	1725	40.17
544	CY062383	599	409	379	314	24	1725	40.17
545	CY062384	599	409	379	314	24	1725	40.17
546	CY062385	600	410	378	313	24	1725	40.06
547	CY062386	600	409	378	314	24	1725	40.12
548	CY062387	600	409	378	314	24	1725	40.12
549	CY062389	600	409	379	313	24	1725	40.12
550	CY062390	599	409	379	314	24	1725	40.17
551	CY062391	599	409	379	314	24	1725	40.17
552	CY062392	598	411	379	313	24	1725	40.12
553	CY062393	599	409	379	314	24	1725	40.17
554	CY062394	599	409	379	314	24	1725	40.17
555	CY062395	600	406	379	316	24	1725	40.29
556	CY062396	601	408	378	314	24	1725	40.12
557	CY062397	601	409	378	313	24	1725	40.06
558	CY062398	599	409	379	314	24	1725	40.17
559	CY062399	599	409	379	314	24	1725	40.17
560	CY062400	601	406	378	316	24	1725	40.23
561	CY062401	599	409	379	314	24	1725	40.17
562	CY062402	599	409	379	314	24	1725	40.17
563	CY062403	601	409	378	313	24	1725	40.06
564	CY062405	602	408	377	314	24	1725	40.06
565	CY062406	602	407	377	315	24	1725	40.12
566	CY062407	602	408	377	314	24	1725	40.06
567	AB451123	195	149	157	99	8	608	42.11
568	AB451126	194	150	158	98	8	608	42.11
569	AB451122	196	151	158	95	8	608	41.61
570	AB451164	336	217	207	218	13	991	42.89
571	AB453378	344	224	200	219	14	1001	41.86
572	AB043497	348	237	221	223	14	1043	42.57
573	AB453379	340	229	201	217	14	1001	41.76
574	AB255395	338	221	207	212	13	991	42.28
575	AB453380	340	229	201	217	14	1001	41.76
576	AB259107	343	226	201	217	14	1001	41.76
577	AB259772	86	87	93	70	4	340	47.94
578	AB453381	339	230	201	217	14	1001	41.76
579	AB453382	341	226	201	219	14	1001	41.96
580	AB259108	344	226	200	217	14	1001	41.66
581	AB259773	83	87	89	68	4	331	47.43
582	AB255390	325	219	217	217	13	991	43.79
583	AB451127	437	352	310	234	19	1352	40.24
